sample	rep	nucl	counts
astrocytes	0	Other allele (G)	8
astrocytes	0	PD allele (A)	11
astrocytes	1	Other allele (G)	7
astrocytes	1	PD allele (A)	3
astrocytes	2	Other allele (G)	24
astrocytes	2	PD allele (A)	17
D15_pos	0	Other allele (G)	117
D15_pos	0	PD allele (A)	108
D15_pos	1	Other allele (G)	78
D15_pos	1	PD allele (A)	73
D15_pos	2	Other allele (G)	99
D15_pos	2	PD allele (A)	87
D30_pos	0	Other allele (G)	57
D30_pos	0	PD allele (A)	40
D30_pos	1	Other allele (G)	90
D30_pos	1	PD allele (A)	54
D30_pos	2	Other allele (G)	87
D30_pos	2	PD allele (A)	80
D50_pos	0	Other allele (G)	68
D50_pos	0	PD allele (A)	43
D50_pos	1	Other allele (G)	157
D50_pos	1	PD allele (A)	84
D50_pos	2	Other allele (G)	88
D50_pos	2	PD allele (A)	70
smNPC	0	Other allele (G)	66
smNPC	0	PD allele (A)	63
smNPC	1	Other allele (G)	76
smNPC	1	PD allele (A)	59
smNPC	2	Other allele (G)	37
smNPC	2	PD allele (A)	33
